COUNTY,YEARS,Zones,AREA,YIELD,Rainfall,Temperature,Air Pressure,Wind Speed,Evapotranspiration,NDVI,EVI,GPP
Nyandarua,2016,Upper Highlands,16290,1.260,228.900,19.930,7.630,6.400,23.747,0.652,0.399,0.437
Nyandarua,2017,Upper Highlands,18744,1.340,118.600,20.370,3.950,7.200,21.447,0.621,0.361,0.429
Nyandarua,2018,Upper Highlands,21295,1.680,179.100,19.270,5.970,5.930,24.669,0.704,0.433,0.467
Nyeri,2012,Upper Highlands,33593,0.780,380.200,19.230,12.670,7.500,32.101,0.624,0.357,0.392
Nyeri,2013,Upper Highlands,61416,0.780,310.200,19.770,10.340,6.530,31.951,0.624,0.354,0.384
Nyeri,2014,Upper Highlands,61543,0.720,57.900,19.430,1.930,7.850,22.531,0.589,0.345,0.407
Nyeri,2015,Upper Highlands,29054,1.320,113.700,20.030,3.790,6.600,23.373,0.584,0.330,0.419
Nyeri,2016,Upper Highlands,23039,0.540,113.200,20.170,3.770,7.330,21.094,0.597,0.323,0.341
Nyeri,2017,Upper Highlands,36157,0.850,45.600,20.270,1.520,7.970,24.538,0.584,0.311,0.429
Nyeri,2018,Upper Highlands,28631,1.360,129.000,20.900,4.300,5.770,24.460,0.692,0.399,0.438
Trans Nzoia,2012,Upper Midlands,104421,4.140,388.300,19.970,12.940,4.970,34.474,0.702,0.441,0.473
Trans Nzoia,2013,Upper Midlands,105310,4.040,220.500,20.470,7.350,3.870,36.307,0.702,0.433,0.507
Trans Nzoia,2014,Upper Midlands,106778,4.230,48.300,21.100,1.610,6.100,32.452,0.710,0.465,0.500
Trans Nzoia,2015,Upper Midlands,106800,3.870,248.000,19.830,8.270,5.530,34.222,0.718,0.451,0.545
Trans Nzoia,2016,Upper Midlands,106303,3.820,177.700,21.130,5.930,5.630,31.721,0.687,0.427,0.547
Trans Nzoia,2017,Upper Midlands,106557,3.690,131.200,22.000,4.370,5.130,34.588,0.725,0.441,0.561
Trans Nzoia,2018,Upper Midlands,107681,5.090,156.300,21.370,5.210,4.570,33.309,0.713,0.450,0.548
Uasin Gishu,2012,Low Highlands,91310,2.820,608.300,18.800,20.280,5.600,33.209,0.664,0.409,0.419
Uasin Gishu,2013,Low Highlands,88790,4.090,417.100,19.070,13.900,4.400,35.911,0.679,0.415,0.466
Uasin Gishu,2014,Low Highlands,96654,3.930,77.800,19.830,2.590,8.300,30.777,0.675,0.414,0.425
Uasin Gishu,2015,Low Highlands,104078,3.890,388.500,18.770,12.950,6.670,32.599,0.681,0.430,0.478
Uasin Gishu,2016,Low Highlands,102753,3.950,410.500,19.600,13.680,6.630,30.100,0.652,0.396,0.498
Uasin Gishu,2017,Low Highlands,101279,3.120,247.200,19.930,8.240,9.970,34.205,0.684,0.410,0.499
Uasin Gishu,2018,Low Highlands,95209,4.260,362.600,18.900,12.090,4.230,30.257,0.679,0.411,0.486
Vihiga,2012,Upper Midlands,18010,1.550,479.700,22.900,15.990,6.330,38.097,0.679,0.414,0.437
Vihiga,2013,Upper Midlands,24195,1.500,463.800,22.970,15.460,6.100,40.103,0.679,0.404,0.436
Vihiga,2014,Upper Midlands,23772,1.540,116.700,24.670,3.890,6.470,39.188,0.680,0.421,0.452
Vihiga,2015,Upper Midlands,35105,1.250,459.400,22.600,15.310,6.100,39.237,0.689,0.420,0.447
Vihiga,2016,Upper Midlands,35783,1.410,394.000,23.300,13.130,6.400,37.869,0.672,0.414,0.436
Vihiga,2017,Upper Midlands,29190,1.490,259.000,25.000,8.630,5.970,39.543,0.698,0.414,0.473
Vihiga,2018,Upper Midlands,25090,1.400,674.500,22.400,22.480,6.030,37.807,0.710,0.448,0.473
West Pokot,2012,Low Midlands,33035,3.350,388.300,19.970,12.940,4.970,37.540,0.693,0.449,0.360
West Pokot,2013,Low Midlands,19380,2.820,220.500,20.470,7.350,3.870,42.136,0.719,0.474,0.449
West Pokot,2014,Low Midlands,19748,2.350,48.300,21.100,1.610,6.100,33.033,0.703,0.460,0.397
West Pokot,2015,Low Midlands,33124,1.820,248.000,19.830,8.270,5.530,33.835,0.726,0.483,0.447
West Pokot,2016,Low Midlands,29143,2.370,177.800,21.130,5.930,5.630,31.093,0.715,0.459,0.460
West Pokot,2017,Low Midlands,34450,1.500,131.200,22.000,4.370,5.130,34.041,0.714,0.459,0.448
West Pokot,2018,Low Midlands,32172,1.920,156.300,21.370,5.210,4.570,30.420,0.721,0.479,0.425
